step,db_id,n_icl,correct,cumulative_regret,mem_size
466,student_club,3,1,326.0000,141
467,card_games,3,0,327.0000,141
468,toxicology,3,0,328.0000,141
469,card_games,3,0,329.0000,141
470,formula_1,3,1,329.0000,142
471,toxicology,3,1,329.0000,143
472,formula_1,3,0,330.0000,143
473,student_club,3,1,330.0000,144
474,codebase_community,3,1,330.0000,145
475,toxicology,3,1,330.0000,146
476,superhero,3,0,331.0000,146
477,toxicology,3,0,332.0000,146
478,card_games,3,1,332.0000,147
479,financial,3,0,333.0000,147
480,superhero,3,1,333.0000,148
481,codebase_community,3,1,333.0000,149
482,european_football_2,3,1,333.0000,150
483,european_football_2,3,1,333.0000,151
484,codebase_community,3,0,334.0000,151
485,toxicology,3,0,335.0000,151
486,european_football_2,3,0,336.0000,151
487,codebase_community,3,1,336.0000,152
488,thrombosis_prediction,3,0,337.0000,152
489,formula_1,3,0,338.0000,152
490,formula_1,3,0,339.0000,152
491,superhero,3,1,339.0000,153
492,european_football_2,3,0,340.0000,153
493,debit_card_specializing,3,0,341.0000,153
494,european_football_2,3,1,341.0000,154
495,toxicology,3,0,342.0000,154
496,card_games,3,0,343.0000,154
497,formula_1,3,1,343.0000,155
498,thrombosis_prediction,3,0,344.0000,155
499,formula_1,3,1,344.0000,156
500,codebase_community,3,1,344.0000,157
501,card_games,3,0,345.0000,157
502,financial,3,0,346.0000,157
503,toxicology,3,1,346.0000,158
504,card_games,3,1,346.0000,159
505,card_games,3,0,347.0000,159
506,codebase_community,3,1,347.0000,160
507,toxicology,3,1,347.0000,161
508,debit_card_specializing,3,0,348.0000,161
509,card_games,3,0,349.0000,161
510,european_football_2,3,1,349.0000,162
511,card_games,3,1,349.0000,163
512,formula_1,3,0,350.0000,163
513,thrombosis_prediction,3,0,351.0000,163
514,superhero,3,1,351.0000,164
515,codebase_community,3,1,351.0000,165
516,thrombosis_prediction,3,0,352.0000,165
517,codebase_community,3,0,353.0000,165
518,codebase_community,3,1,353.0000,166
519,california_schools,3,0,354.0000,166
520,european_football_2,3,1,354.0000,167
521,toxicology,3,0,355.0000,167
522,superhero,3,0,356.0000,167
523,european_football_2,3,0,357.0000,167
524,student_club,3,1,357.0000,168
525,toxicology,3,0,358.0000,168
526,formula_1,3,1,358.0000,169
527,formula_1,3,1,358.0000,170
528,formula_1,3,1,358.0000,171
529,superhero,3,1,358.0000,172
530,card_games,3,0,359.0000,172
531,codebase_community,3,1,359.0000,173
532,european_football_2,3,1,359.0000,174
533,thrombosis_prediction,3,0,360.0000,174
534,superhero,3,1,360.0000,175
535,thrombosis_prediction,3,0,361.0000,175
536,california_schools,3,1,361.0000,176
537,superhero,3,1,361.0000,177
538,thrombosis_prediction,3,0,362.0000,177
539,student_club,3,1,362.0000,178
540,european_football_2,3,0,363.0000,178
541,card_games,3,0,364.0000,178
542,superhero,3,1,364.0000,179
543,student_club,3,1,364.0000,180
544,superhero,3,1,364.0000,181
545,european_football_2,3,1,364.0000,182
546,card_games,3,0,365.0000,182
547,european_football_2,3,0,366.0000,182
548,financial,3,0,367.0000,182
549,superhero,3,1,367.0000,183
550,student_club,3,0,368.0000,183
551,thrombosis_prediction,3,0,369.0000,183
552,toxicology,3,0,370.0000,183
553,financial,3,0,371.0000,183
554,codebase_community,3,1,371.0000,184
555,student_club,3,0,372.0000,184
556,toxicology,3,0,373.0000,184
557,formula_1,3,1,373.0000,185
558,formula_1,3,0,374.0000,185
559,formula_1,3,1,374.0000,186
560,thrombosis_prediction,3,0,375.0000,186
561,california_schools,3,0,376.0000,186
562,financial,3,0,377.0000,186
563,california_schools,3,1,377.0000,187
564,student_club,3,1,377.0000,188
565,card_games,3,1,377.0000,189
566,european_football_2,3,0,378.0000,189
567,toxicology,3,0,379.0000,189
568,toxicology,3,0,380.0000,189
569,financial,3,0,381.0000,189
570,thrombosis_prediction,3,0,382.0000,189
571,toxicology,3,0,383.0000,189
572,financial,3,0,384.0000,189
573,european_football_2,3,0,385.0000,189
574,thrombosis_prediction,3,1,385.0000,190
575,thrombosis_prediction,3,1,385.0000,191
576,student_club,3,1,385.0000,192
577,superhero,3,1,385.0000,193
578,formula_1,3,0,386.0000,193
579,european_football_2,3,0,387.0000,193
580,debit_card_specializing,3,0,388.0000,193
581,card_games,3,0,389.0000,193
582,toxicology,3,0,390.0000,193
583,european_football_2,3,0,391.0000,193
584,california_schools,3,0,392.0000,193
585,card_games,3,0,393.0000,193
586,toxicology,3,0,394.0000,193
587,superhero,3,0,395.0000,193
588,california_schools,3,0,396.0000,193
589,european_football_2,3,0,397.0000,193
590,thrombosis_prediction,3,0,398.0000,193
591,european_football_2,3,0,399.0000,193
592,codebase_community,3,1,399.0000,194
593,toxicology,3,1,399.0000,195
594,codebase_community,3,1,399.0000,196
595,thrombosis_prediction,3,0,400.0000,196
596,formula_1,3,1,400.0000,197
597,codebase_community,3,0,401.0000,197
598,codebase_community,3,0,402.0000,197
599,california_schools,3,0,403.0000,197
600,debit_card_specializing,3,1,403.0000,198
601,superhero,3,0,404.0000,198
602,codebase_community,3,0,405.0000,198
603,student_club,3,0,406.0000,198
604,formula_1,3,1,406.0000,199
605,financial,3,0,407.0000,199
606,thrombosis_prediction,3,0,408.0000,199
607,european_football_2,3,1,408.0000,200
608,codebase_community,3,1,408.0000,201
609,student_club,3,0,409.0000,201
610,superhero,3,1,409.0000,202
611,formula_1,3,0,410.0000,202
612,card_games,3,0,411.0000,202
613,thrombosis_prediction,3,0,412.0000,202
614,european_football_2,3,0,413.0000,202
615,california_schools,3,0,414.0000,202
616,formula_1,3,1,414.0000,203
617,card_games,3,0,415.0000,203
618,toxicology,3,1,415.0000,204
619,card_games,3,1,415.0000,205
620,toxicology,3,0,416.0000,205
621,formula_1,3,0,417.0000,205
622,formula_1,3,0,418.0000,205
623,toxicology,3,0,419.0000,205
624,card_games,3,1,419.0000,206
625,student_club,3,0,420.0000,206
626,debit_card_specializing,3,0,421.0000,206
627,thrombosis_prediction,3,1,421.0000,207
628,formula_1,3,1,421.0000,208
629,california_schools,3,0,422.0000,208
630,toxicology,3,0,423.0000,208
631,codebase_community,3,1,423.0000,209
632,european_football_2,3,1,423.0000,210
633,student_club,3,0,424.0000,210
634,financial,3,1,424.0000,211
635,european_football_2,3,1,424.0000,212
636,card_games,3,0,425.0000,212
637,thrombosis_prediction,3,0,426.0000,212
638,student_club,3,1,426.0000,213
639,thrombosis_prediction,3,0,427.0000,213
640,superhero,3,0,428.0000,213
641,thrombosis_prediction,3,0,429.0000,213
642,codebase_community,3,1,429.0000,214
643,european_football_2,3,1,429.0000,215
644,formula_1,3,0,430.0000,215
645,european_football_2,3,0,431.0000,215
646,california_schools,3,0,432.0000,215
647,toxicology,3,0,433.0000,215
648,european_football_2,3,1,433.0000,216
649,card_games,3,0,434.0000,216
650,formula_1,3,0,435.0000,216
651,superhero,3,1,435.0000,217
652,formula_1,3,0,436.0000,217
653,thrombosis_prediction,3,0,437.0000,217
654,formula_1,3,0,438.0000,217
655,financial,3,0,439.0000,217
656,card_games,3,0,440.0000,217
657,thrombosis_prediction,3,0,441.0000,217
658,formula_1,3,1,441.0000,218
659,formula_1,3,0,442.0000,218
660,financial,3,0,443.0000,218
661,codebase_community,3,0,444.0000,218
662,toxicology,3,0,445.0000,218
663,codebase_community,3,1,445.0000,219
664,toxicology,3,0,446.0000,219
665,financial,3,0,447.0000,219
666,student_club,3,0,448.0000,219
667,student_club,3,1,448.0000,220
668,thrombosis_prediction,3,0,449.0000,220
669,student_club,3,1,449.0000,221
670,card_games,3,1,449.0000,222
671,codebase_community,3,0,450.0000,222
672,thrombosis_prediction,3,0,451.0000,222
673,superhero,3,1,451.0000,223
674,card_games,3,0,452.0000,223
675,student_club,3,0,453.0000,223
676,thrombosis_prediction,3,0,454.0000,223
677,toxicology,3,0,455.0000,223
678,student_club,3,1,455.0000,224
679,card_games,3,0,456.0000,224
680,toxicology,3,0,457.0000,224
681,student_club,3,1,457.0000,225
682,formula_1,3,0,458.0000,225
683,codebase_community,3,0,459.0000,225
684,california_schools,3,0,460.0000,225
685,european_football_2,3,0,461.0000,225
686,european_football_2,3,1,461.0000,226
687,formula_1,3,0,462.0000,226
688,codebase_community,3,1,462.0000,227
689,european_football_2,3,1,462.0000,228
690,superhero,3,1,462.0000,229
691,codebase_community,3,1,462.0000,230
692,california_schools,3,0,463.0000,230
693,formula_1,3,0,464.0000,230
694,financial,3,0,465.0000,230
695,codebase_community,3,0,466.0000,230
696,student_club,3,0,467.0000,230
697,financial,3,0,468.0000,230
698,financial,3,0,469.0000,230
699,card_games,3,0,470.0000,230
700,superhero,3,0,471.0000,230
701,toxicology,3,1,471.0000,231
702,california_schools,3,0,472.0000,231
703,codebase_community,3,0,473.0000,231
704,toxicology,3,0,474.0000,231
705,card_games,3,1,474.0000,232
706,european_football_2,3,0,475.0000,232
707,financial,3,0,476.0000,232
708,formula_1,3,1,476.0000,233
709,student_club,3,1,476.0000,234
710,toxicology,3,0,477.0000,234
711,toxicology,3,0,478.0000,234
712,card_games,3,0,479.0000,234
713,superhero,3,1,479.0000,235
714,card_games,3,0,480.0000,235
715,european_football_2,3,1,480.0000,236
716,card_games,3,0,481.0000,236
717,superhero,3,1,481.0000,237
718,student_club,3,1,481.0000,238
719,card_games,3,1,481.0000,239
720,european_football_2,3,0,482.0000,239
721,toxicology,3,0,483.0000,239
722,formula_1,3,0,484.0000,239
723,superhero,3,0,485.0000,239
724,student_club,3,0,486.0000,239
725,european_football_2,3,0,487.0000,239
726,codebase_community,3,1,487.0000,240
727,thrombosis_prediction,3,0,488.0000,240
728,european_football_2,3,0,489.0000,240
729,student_club,3,1,489.0000,241
730,student_club,3,0,490.0000,241
731,debit_card_specializing,3,1,490.0000,242
732,formula_1,3,1,490.0000,243
733,superhero,3,1,490.0000,244
734,toxicology,3,0,491.0000,244
735,codebase_community,3,1,491.0000,245
736,codebase_community,3,1,491.0000,246
